Parameter,Value,Units,Constraint_or_rationale
"Airfoil model","Linear Cl-alpha / parabolic Cd (documented assumption)","-","a0=5.73/rad, cd_min=0.0090, eps=0.60; see module docstring"
"Radius, R","2.60","m","sized for disk loading ~ real tiltrotors"
"Root cutout","0.35","m","hub / pitch-bearing / tilt-mechanism allowance"
"Number of blades, B","3","-","matches XV-15/V-22 practice"
"Root chord","0.340","m","sets solidity"
"Taper ratio","0.80","-","tip chord = 0.272 m"
"Twist (linear)","0.0 to -12.0","deg","moderate washout (more than helicopter, less than full tiltrotor-class)"
"Solidity, sigma","0.0973","-","cf. XV-15 sigma=0.089-0.10"
"RPM (hover / helicopter mode)","750","RPM","sized for M_tip~0.6 hover"
"RPM (cruise / airplane mode)","650","RPM","2-speed drive, 87% of hover Nr"
"Tip speed (hover)","204.2","m/s","M_tip=0.600"
"Tip speed (cruise)","177.0","m/s","M_tip=0.520"
"Collective range (hover)","2 to 26","deg","allowable pitch schedule"
"Collective range (cruise)","5 to 35","deg","allowable pitch schedule"
"Disk loading (per rotor, at MTOW)","692.7","N/m^2","= 70.6 kg/m^2"
"Gross weight","3000","kg","design mission MTOW"
"Empty weight","1950","kg","structure+systems+engines"
"Max payload","550","kg","cabin/cargo"
"Fuel capacity","500","kg","10% reserve policy"
"Design range","550","km","airplane-mode cruise"
"Design cruise speed","110","m/s","= 214 kt"
"Service ceiling","6000","m","-"
"Number of engines","2","-","cross-shafted, single-engine-inoperative capable"
"Sea-level power per engine","400","kW","installed, uninstalled losses in drivetrain_efficiency"
"Drivetrain efficiency","0.95","-","gearbox + interconnect shaft"
"Cruise SFC","0.30","kg/kWh","representative modern turboshaft"
